%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422477161338324607,94,1422477161302822113,,422921290,-712626277,51610,-3360,4,2,-4,16408
1422477161653063835,95,1422477161649931907,,422921290,-712626276,51580,-3340,-1,-3,1,16402
1422477162017740501,96,1422477161983093976,,422921290,-712626276,51620,-3330,-6,-4,6,16403
1422477162382597098,97,1422477162362530946,,422921289,-712626276,51570,-3320,7,-4,-7,16409
1422477162797860426,98,1422477162784935951,,422921289,-712626277,51560,-3300,4,-2,-4,16405
1422477163162614474,99,1422477163118143081,,422921289,-712626277,51600,-3300,4,0,-4,16402
1422477163528117252,100,1422477163497358083,,422921289,-712626278,51560,-3290,-4,-4,4,16408
1422477163893145068,101,1422477163844583988,,422921288,-712626279,51570,-3280,-1,0,1,16406
1422477164257850516,102,1422477164222930908,,422921287,-712626279,51560,-3260,4,-1,-4,16403
1422477164572604927,103,1422477164555991888,,422921287,-712626279,51600,-3250,-8,-6,8,16408
1422477164937865295,104,1422477164906414031,,422921286,-712626278,51670,-3230,-4,-4,4,16408
1422477165352958813,105,1422477165315551042,,422921286,-712626278,51670,-3230,-4,-4,4,16404
1422477165667745399,106,1422477165661914110,,422921285,-712626277,51750,-3210,-1,4,1,16410
1422477166033243781,107,1422477166001230001,,422921284,-712626274,51790,-3210,2,2,-2,16405
1422477166399324341,108,1422477166376213073,,422921283,-712626272,51820,-3210,4,-4,-4,16409
1422477166813891952,109,1422477166799673080,,422921284,-712626271,51880,-3250,-3,3,3,16409
1422477167178767234,110,1422477167146764039,,422921285,-712626270,51920,-3280,-1,-1,1,16406
1422477167493451118,111,1422477167478146076,,422921285,-712626269,51970,-3300,4,2,-4,16410
1422477167908601119,112,1422477167892621040,,422921287,-712626270,52000,-3310,0,-9,0,16403
1422477168273317452,113,1422477168271620035,,422921288,-712626272,52040,-3330,-4,1,4,16411
1422477168638105556,114,1422477168622888088,,422921287,-712626275,52030,-3330,4,-6,-4,16404
1422477169053399424,115,1422477169035317897,,422921287,-712626278,51990,-3370,-4,4,4,16408
1422477169719122451,116,1422477169712826967,,422921285,-712626278,51890,-3410,4,-2,-4,16400
1422477170184250526,117,1422477170140212059,,422921284,-712626279,51870,-3460,0,-6,0,16405
1422477170549279154,118,1422477170548497915,,422921283,-712626279,51870,-3490,1,2,-1,16404
1422477171014241945,119,1422477171002840042,,422921282,-712626279,51860,-3490,-4,-1,4,16399
1422477171429273923,120,1422477171379934072,,422921281,-712626280,51830,-3460,3,-3,-3,16406
1422477171794467759,121,1422477171759246110,,422921280,-712626281,51790,-3450,2,3,-2,16405
1422477172109182074,122,1422477172106568098,,422921280,-712626282,51790,-3410,-2,-3,2,16402
1422477172524422843,123,1422477172483736991,,422921279,-712626283,51820,-3370,-1,7,1,16407
1422477172839493490,124,1422477172818101882,,422921278,-712626284,51800,-3320,-4,8,4,16410
1422477173204533654,125,1422477173169147968,,422921276,-712626284,51780,-3280,-17,6,17,16407
1422477173620174058,126,1422477173576497077,,422921274,-712626284,51830,-3240,-2,-1,2,16409
1422477173935388217,127,1422477173924706935,,422921273,-712626285,51790,-3200,22,-9,-22,16412
1422477174350944934,128,1422477174334175109,,422921274,-712626286,51700,-3150,18,-4,-18,16404
1422477174765984541,129,1422477174718570947,,422921275,-712626287,51650,-3090,-8,-4,8,16407
