%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422479467371146556,51,1422479467362093925,,422924105,-712629064,58470,-4170,0,1,0,24564
1422479467785884509,52,1422479467784179925,,422924105,-712629063,58490,-4150,3,0,-3,24559
1422479468201480460,53,1422479468156433105,,422924104,-712629062,58540,-4150,-6,4,6,24563
1422479468616827574,54,1422479468573714017,,422924104,-712629060,58510,-4150,9,1,-9,24560
1422479469032017398,55,1422479468999752998,,422924104,-712629059,58500,-4130,7,-7,-7,24557
1422479469397131673,56,1422479469376311063,,422924105,-712629058,58470,-4100,4,-9,-4,24562
1422479469761748712,57,1422479469754642963,,422924107,-712629058,58460,-4060,8,2,-8,24562
1422479470176665312,58,1422479470131930112,,422924109,-712629058,58420,-4010,-1,-2,1,24562
1422479470541107961,59,1422479470508179903,,422924111,-712629057,58430,-3990,0,-1,0,24570
1422479470906553706,60,1422479470886452913,,422924113,-712629056,58400,-4010,-6,-8,6,24566
1422479471271512002,61,1422479471263425111,,422924115,-712629056,58370,-4030,2,7,-2,24564
1422479471686362616,62,1422479471642174005,,422924117,-712629055,58370,-4030,2,-1,-2,24570
1422479472051581912,63,1422479472020354986,,422924120,-712629052,58380,-4030,-7,14,7,24564
1422479472416449946,64,1422479472392534971,,422924121,-712629050,58430,-4040,-4,1,4,24572
1422479472831189231,65,1422479472809793949,,422924123,-712629043,58410,-4020,2,-2,-2,24573
1422479473296266201,66,1422479473266118049,,422924125,-712629038,58430,-3980,1,7,-1,24570
1422479473661547218,67,1422479473614168882,,422924127,-712629032,58510,-3960,-7,-2,7,24571
1422479474026551064,68,1422479473989604949,,422924128,-712629030,58460,-3920,-3,13,3,24565
1422479474391481738,69,1422479474367959022,,422924129,-712629026,58460,-3920,0,-7,0,24566
1422479474756213650,70,1422479474745147943,,422924131,-712629023,58400,-3910,4,1,-4,24563
1422479475171202818,71,1422479475122435092,,422924133,-712629021,58330,-3910,2,-3,-2,24567
1422479475535938867,72,1422479475489732027,,422924135,-712629022,58300,-3930,-9,8,9,24565
1422479475951084345,73,1422479475912054061,,422924136,-712629021,58290,-3950,2,3,-2,24568
1422479476416736604,74,1422479476367410898,,422924136,-712629019,58320,-3950,-6,-1,6,24570
1422479476781209157,75,1422479476747379064,,422924135,-712629018,58310,-3920,-6,-1,6,24568
1422479477146332062,76,1422479477131643056,,422924134,-712629015,58310,-3900,-2,3,2,24573
1422479477611438479,77,1422479477582375049,,422924132,-712629013,58300,-3880,1,-6,-1,24570
1422479478026564505,78,1422479478005541086,,422924131,-712629010,58320,-3880,2,-3,-2,24568
1422479478391984175,79,1422479478382803916,,422924131,-712629008,58270,-3880,-3,4,3,24574
1422479478806976320,80,1422479478761132955,,422924132,-712629006,58280,-3880,-4,9,4,24572
1422479479171999969,81,1422479479138351917,,422924133,-712629004,58330,-3880,-3,0,3,24571
1422479479536915930,82,1422479479515683889,,422924135,-712629002,58380,-3880,4,-9,-4,24571
1422479479901800546,83,1422479479893815994,,422924137,-712629001,58450,-3900,2,-7,-2,24571
1422479480317181643,84,1422479480271138906,,422924139,-712629000,58540,-3910,-3,-4,3,24569
1422479480682253251,85,1422479480649358987,,422924142,-712629000,58610,-3940,-2,-7,2,24568
1422479481047749186,86,1422479481025692939,,422924143,-712628999,58600,-3950,1,-4,-1,24566
1422479481412255337,87,1422479481398984909,,422924146,-712628999,58620,-3960,-12,2,12,24565
1422479481877245693,88,1422479481858221054,,422924147,-712628999,58660,-3960,6,-3,-6,24567
1422479482242359137,89,1422479482235411882,,422924150,-712628998,58760,-3990,-1,1,1,24569
1422479482657132365,90,1422479482613847017,,422924153,-712628997,58780,-4010,1,6,-1,24571
