%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422478283248458032,57,1422478283205578088,,422920445,-712627308,57220,-3850,-8,6,8,33146
1422478283562858954,58,1422478283539576053,,422920443,-712627307,57160,-3850,-4,-3,4,33138
1422478283928908581,59,1422478283919024944,,422920442,-712627307,57020,-3840,4,-2,-4,33139
1422478284293717537,60,1422478284267250061,,422920442,-712627307,56960,-3850,2,8,-2,33144
1422478284658408564,61,1422478284644464015,,422920442,-712627308,56960,-3870,11,9,-11,33139
1422478284973139617,62,1422478284946722030,,422920445,-712627308,56830,-3860,-1,0,1,33142
1422478285338267348,63,1422478285324876070,,422920446,-712627309,56770,-3850,0,-2,0,33147
1422478285703188924,64,1422478285658102035,,422920448,-712627313,56560,-3850,-3,4,3,33140
1422478286017994203,65,1422478286005400896,,422920449,-712627318,56310,-3860,3,-2,-3,33147
1422478286383128479,66,1422478286380496025,,422920450,-712627322,56050,-3890,1,8,-1,33146
1422478286798433280,67,1422478286794034004,,422920453,-712627325,55750,-3910,12,-9,-12,33142
1422478287213542430,68,1422478287173290014,,422920455,-712627331,55600,-3930,13,4,-13,33146
1422478287528382261,69,1422478287517524003,,422920458,-712627337,55420,-3970,2,0,-2,33138
1422478287942989890,70,1422478287899993896,,422920460,-712627343,55310,-3980,2,4,-2,33140
1422478288257441140,71,1422478288234217882,,422920462,-712627349,55230,-3990,9,-1,-9,33139
1422478288622439928,72,1422478288617198944,,422920464,-712627357,55150,-3990,-6,-17,6,33138
1422478289038127537,73,1422478288991564035,,422920466,-712627365,55040,-3970,9,7,-9,33142
1422478289403244602,74,1422478289370579957,,422920468,-712627374,54990,-3960,-3,-3,3,33136
1422478289768124495,75,1422478289750081062,,422920470,-712627384,54870,-3990,3,6,-3,33143
1422478290182860232,76,1422478290133532047,,422920473,-712627393,54810,-4020,-1,-1,1,33138
1422478290597875892,77,1422478290551583051,,422920475,-712627397,54780,-4030,1,1,-1,33139
1422478290962712780,78,1422478290930763006,,422920476,-712627400,54660,-4020,-4,-4,4,33136
1422478291277517681,79,1422478291264189004,,422920476,-712627402,54640,-4010,1,1,-1,33132
1422478291692420011,80,1422478291647531032,,422920477,-712627403,54610,-4000,-4,1,4,33137
1422478292007550079,81,1422478291987471103,,422920477,-712627403,54560,-3990,3,-4,-3,33134
1422478292372631975,82,1422478292369014024,,422920477,-712627403,54540,-3970,-9,7,9,33132
1422478292688242443,83,1422478292671956062,,422920478,-712627402,54400,-3960,-17,-2,17,33138
1422478293053416097,84,1422478293047447919,,422920478,-712627402,54360,-3950,1,-7,-1,33134
1422478293467709258,85,1422478293461786985,,422920478,-712627403,54370,-3950,-1,-3,1,33136
1422478293882428393,86,1422478293841101884,,422920478,-712627403,54310,-3950,3,0,-3,33144
1422478294247574782,87,1422478294225286006,,422920478,-712627405,54300,-3920,-3,-11,3,33143
