%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422481075354434491,97,1422481075313719987,,422921382,-712625964,70720,14930,-45,-9,45,6788
1422481075719563594,98,1422481075692904949,,422921376,-712625965,70780,14940,-65,-26,65,6774
1422481076084452813,99,1422481076072089910,,422921366,-712625974,70920,14960,-62,-34,62,6801
1422481076499550944,100,1422481076450505971,,422921353,-712625985,70930,14990,-47,-24,47,6881
1422481076864466897,101,1422481076828757047,,422921345,-712625991,71150,15000,-36,-21,36,6907
1422481077229460078,102,1422481077210798978,,422921338,-712625990,71210,15030,-39,0,39,6828
1422481077595002062,103,1422481077585452079,,422921332,-712625987,71390,15070,-22,2,22,6741
1422481078009618015,104,1422481077964524984,,422921324,-712625985,71440,15120,-29,-9,29,6717
1422481078525761761,105,1422481078493035078,,422921314,-712625988,71460,15120,-41,2,41,6820
1422481078890151358,106,1422481078878132104,,422921309,-712625993,71480,15120,-16,-11,16,6807
1422481079354883659,107,1422481079325584888,,422921305,-712625999,71390,15140,-22,-29,22,6815
1422481079719639947,108,1422481079703855991,,422921301,-712626006,71340,15160,-9,-3,9,6790
1422481080084945785,109,1422481080082101106,,422921297,-712626012,71320,15180,-9,-2,9,6764
1422481080499801619,110,1422481080461455106,,422921294,-712626016,71270,15180,-12,-6,12,6805
1422481080864758599,111,1422481080839632034,,422921292,-712626021,71190,15160,4,-12,-4,6789
1422481081229543512,112,1422481081217890024,,422921293,-712626024,71170,15150,26,-9,-26,6790
1422481081644428543,113,1422481081598304033,,422921297,-712626025,71120,15150,34,13,-34,6732
1422481082009383366,114,1422481081976488113,,422921301,-712626021,71040,15160,32,18,-32,6726
1422481082374119480,115,1422481082354686975,,422921305,-712626018,71010,15130,8,-1,-8,6724
1422481082739557205,116,1422481082733045101,,422921310,-712626013,70920,15090,26,4,-26,6710
1422481083155445383,117,1422481083112283945,,422921312,-712626009,70910,15060,25,11,-25,6731
1422481083570320607,118,1422481083567625045,,422921318,-712626006,70850,14990,19,-7,-19,6733
1422481083985910085,119,1422481083951740026,,422921325,-712626007,70800,14930,14,-6,-14,6759
1422481084351064385,120,1422481084323252916,,422921334,-712626012,70840,14870,19,1,-19,6701
1422481084716051207,121,1422481084702439069,,422921340,-712626011,71000,14840,-1,4,1,6718
1422481085131503521,122,1422481085080775022,,422921340,-712626007,71030,14850,-11,0,11,6752
1422481085497103237,123,1422481085491966962,,422921336,-712626006,71240,14850,-11,4,11,6758
1422481085962279285,124,1422481085913237094,,422921331,-712626010,71440,14890,-17,-6,17,6781
1422481086327838832,125,1422481086292516946,,422921325,-712626015,71660,14930,-45,-3,45,6802
1422481086693025149,126,1422481086670655012,,422921314,-712626022,71980,14980,-12,-19,12,6752
1422481087208016078,127,1422481087193067073,,422921302,-712626030,72120,15020,-11,-14,11,6795
1422481087673330843,128,1422481087648426055,,422921299,-712626036,72280,15060,-14,-11,14,6739
1422481088188887291,129,1422481088145812988,,422921298,-712626042,72370,15090,-4,-14,4,6722
1422481088554286294,130,1422481088526081085,,422921296,-712626047,72470,15130,-17,-12,17,6745
1422481088919160807,131,1422481088910316944,,422921291,-712626052,72450,15140,-26,-25,26,6730
1422481089484472262,132,1422481089439384937,,422921286,-712626056,72440,15180,-33,-1,33,6706
1422481089849925442,133,1422481089811745882,,422921280,-712626057,72480,15180,-33,-24,33,6705
1422481090215051495,134,1422481090190335988,,422921274,-712626057,72500,15190,-45,-4,45,6719
1422481090579942655,135,1422481090567322969,,422921269,-712626057,72600,15210,-26,-7,26,6685
1422481090995625828,136,1422481090949762105,,422921264,-712626056,72550,15230,-25,3,25,6683
1422481091360335901,137,1422481091323931932,,422921262,-712626055,72550,15230,-8,-11,8,6752
1422481091725347677,138,1422481091702323913,,422921263,-712626054,72610,15230,-3,-19,3,6777
1422481092140061322,139,1422481092124563932,,422921265,-712626054,72560,15230,19,-24,-19,6761
1422481092555179125,140,1422481092538899898,,422921268,-712626053,72510,15250,-9,-22,9,6727
1422481092919989018,141,1422481092911119937,,422921271,-712626052,72510,15280,9,-19,-9,6689
1422481093335284910,142,1422481093289330959,,422921270,-712626053,72510,15290,-17,-22,17,6721
1422481093750101308,143,1422481093741661071,,422921269,-712626057,72410,15280,4,-19,-4,6739
1422481094165482591,144,1422481094119868040,,422921270,-712626059,72300,15250,-24,-7,24,6745
1422481094530610069,145,1422481094497168064,,422921272,-712626061,72270,15220,-6,-13,6,6732
1422481094945907605,146,1422481094917658090,,422921274,-712626063,72220,15200,14,-18,-14,6741
1422481095311106847,147,1422481095294564008,,422921279,-712626066,72110,15150,9,4,-9,6766
1422481095675955966,148,1422481095673072099,,422921286,-712626069,71920,15080,9,7,-9,6800
1422481096091104395,149,1422481096049427986,,422921291,-712626069,71840,15030,33,-6,-33,6783
1422481096506371222,150,1422481096462682008,,422921296,-712626076,71850,14990,-3,6,3,6786
1422481096871544848,151,1422481096840780019,,422921298,-712626080,71890,14940,-4,-3,4,6794
1422481097236381927,152,1422481097220000028,,422921301,-712626074,71810,14920,4,12,-4,6823
1422481097601190680,153,1422481097569106101,,422921305,-712626069,71820,14930,-4,8,4,6800
1422481097966034695,154,1422481097946506977,,422921304,-712626067,71820,14950,17,9,-17,6811
1422481098431617174,155,1422481098400933027,,422921304,-712626063,71830,14950,-2,-1,2,6803
1422481098946999904,156,1422481098931229114,,422921303,-712626059,71920,14970,-9,0,9,6767
1422481099412170500,157,1422481099411631107,,422921298,-712626054,71870,14990,-17,18,17,6777
1422481099926936014,158,1422481099915816068,,422921294,-712626049,71980,15030,6,16,-6,6804
1422481100442422798,159,1422481100397416114,,422921294,-712626042,72070,15100,-19,29,19,6771
1422481100857652089,160,1422481100825700044,,422921288,-712626040,72120,15130,-18,13,18,6750
1422481101322973348,161,1422481101274204969,,422921281,-712626042,72120,15150,-17,0,17,6721
1422481101687645238,162,1422481101654190063,,422921276,-712626049,72150,15150,-16,-8,16,6754
1422481102052532113,163,1422481102034629106,,422921275,-712626055,72010,15150,-9,-4,9,6786
1422481102417582944,164,1422481102413769006,,422921276,-712626061,71900,15130,1,-1,-1,6787
1422481102832215452,165,1422481102794116020,,422921278,-712626068,71840,15090,7,-11,-7,6791
1422481103197017450,166,1422481103180294036,,422921280,-712626074,71790,15050,19,-7,-19,6798
1422481103561336822,167,1422481103559413909,,422921284,-712626078,71780,15020,25,-1,-25,6811
1422481103976010642,168,1422481103965008020,,422921289,-712626081,71760,14990,14,-8,-14,6859
1422481104341272377,169,1422481104316292047,,422921294,-712626082,71800,14980,6,0,-6,6859
1422481104706623273,170,1422481104694243907,,422921296,-712626083,71830,14960,8,19,-8,6787
1422481105121747971,171,1422481105073710918,,422921297,-712626082,71850,14960,35,9,-35,6810
1422481105536881750,172,1422481105528141021,,422921299,-712626081,71820,14950,9,2,-9,6863
1422481105951931129,173,1422481105909204959,,422921301,-712626082,71850,14910,24,3,-24,6826
1422481106316996623,174,1422481106287350893,,422921304,-712626081,71840,14900,9,8,-9,6790
