%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422208689793141882,157,1422208689754734992,,422929637,-712630200,54330,170,4,6,-1,13875
1422208690057192462,158,1422208690033416032,,422929636,-712630201,54610,180,-1,-2,7,13873
1422208690421932176,159,1422208690371789932,,422929634,-712630203,54590,170,2,-4,9,13873
1422208690937055380,160,1422208690908024072,,422929633,-712630205,54540,180,-6,-1,4,13872
1422208691451695162,161,1422208691414951086,,422929632,-712630207,54540,200,1,-2,3,13871
1422208691817207222,162,1422208691790390968,,422929632,-712630209,54560,220,-3,-4,3,13868
1422208692031175700,163,1422208692001128911,,422929629,-712630213,54880,230,-9,9,-7,13866
1422208692495944897,164,1422208692478364944,,422929626,-712630218,54870,210,9,13,-22,13869
1422208692710041893,165,1422208692689507007,,422929624,-712630223,54830,200,8,4,-21,13873
1422208693174859763,166,1422208693167495012,,422929624,-712630226,54800,190,17,9,-9,13868
1422208693590331759,167,1422208693539849996,,422929625,-712630229,54760,170,11,3,9,13873
1422208693955166112,168,1422208693939702033,,422929626,-712630231,54780,160,-6,-7,16,13876
1422208694320239377,169,1422208694317854881,,422929626,-712630234,54770,150,-11,-9,16,13870
1422208694735288918,170,1422208694691195011,,422929625,-712630237,54780,150,-12,-6,13,13869
1422208695100158011,171,1422208695090063095,,422929625,-712630239,54710,160,-1,-1,6,13869
1422208695514741328,172,1422208695468252897,,422929625,-712630241,54660,170,3,0,-3,13863
1422208695729342349,173,1422208695679205894,,422929625,-712630243,54680,220,-6,-4,-4,13869
1422208696294203871,174,1422208696260384082,,422929624,-712630247,54660,280,7,-1,12,13869
1422208696959858175,175,1422208696929462909,,422929624,-712630250,54670,330,4,-3,33,13865
1422208697424594610,176,1422208697407758951,,422929624,-712630255,54660,370,-9,-8,26,13871
1422208698089633171,177,1422208698075870037,,422929624,-712630260,54630,410,1,7,-4,13875
1422208698604972887,178,1422208698555175065,,422929624,-712630266,54610,440,-4,6,-36,13871
1422208698919578938,179,1422208698873223066,,422929625,-712630272,54600,470,14,11,-19,13869
1422208699183621352,180,1422208699179495096,,422929626,-712630278,54670,500,3,4,-18,13873
1422208699397779136,181,1422208699373310089,,422929624,-712630286,54710,530,8,0,8,13866
1422208699762437963,182,1422208699746522903,,422929621,-712630293,54780,500,19,-6,70,13875
1422208700176712435,183,1422208700147433996,,422929615,-712630300,54850,470,-29,-19,36,13875
1422208700591940183,184,1422208700562803983,,422929603,-712630311,54910,410,1,-4,14,13878
1422208701157676574,185,1422208701124954938,,422929591,-712630318,54940,360,-19,-9,13,13874
1422208701923350137,186,1422208701886296987,,422929579,-712630324,54950,310,4,1,-3,13875
1422208702288201812,187,1422208702275376081,,422929569,-712630329,55030,230,12,2,33,13874
1422208703154973637,188,1422208703135606050,,422929556,-712630336,55080,170,-19,-8,35,13877
1422208703619935229,189,1422208703613663911,,422929541,-712630344,55140,130,-11,-8,14,13874
1422208704285473849,190,1422208704282888889,,422929528,-712630353,55190,80,0,-4,31,13879
1422208704800625797,191,1422208704761076927,,422929517,-712630360,55260,60,-12,-17,42,13874
1422208705265242146,192,1422208705230139970,,422929505,-712630369,55340,20,-11,-18,66,13874
1422208705830599085,193,1422208705807353973,,422929493,-712630378,55390,0,-4,-16,79,13869
1422208706395901965,194,1422208706352525949,,422929481,-712630387,55440,-20,-33,-28,72,13870
1422208706760711255,195,1422208706727612972,,422929465,-712630398,55440,-30,-28,-26,55,13873
1422208707276411345,196,1422208707271769046,,422929451,-712630406,55430,-30,-35,-17,29,13873
1422208707791185782,197,1422208707750138044,,422929436,-712630415,55440,-30,-29,-12,-6,13871
1422208708105465262,198,1422208708069180011,,422929421,-712630423,55380,-40,-4,4,-21,13876
1422208708420388763,199,1422208708374135971,,422929408,-712630429,55400,-40,9,3,-9,13881
1422208708885523542,200,1422208708880289077,,422929394,-712630434,55430,-20,6,0,6,13880
1422208709400160102,201,1422208709358498096,,422929383,-712630436,55430,-10,1,-1,0,13881
1422208709714254266,202,1422208709677599906,,422929373,-712630439,55460,-10,8,2,4,13881
1422208710028846803,203,1422208709987502098,,422929364,-712630440,55550,0,-6,-6,18,13886
1422208710694084744,204,1422208710673986911,,422929354,-712630443,55590,20,-3,-8,16,13885
1422208710958381407,205,1422208710951802968,,422929343,-712630446,55630,40,4,-6,26,13880
1422208711472762971,206,1422208711430272102,,422929336,-712630448,55670,60,1,-4,37,13886
1422208711787251751,207,1422208711749089956,,422929330,-712630449,55710,70,-6,-9,34,13877
1422208712101621418,208,1422208712059221982,,422929326,-712630449,55740,70,4,-2,26,13875
1422208712767120258,209,1422208712745552062,,422929324,-712630449,55790,70,-7,-4,25,13873
1422208713031769199,210,1422208713020664930,,422929321,-712630449,55860,60,-2,-4,14,13875
1422208713546969069,211,1422208713498780965,,422929319,-712630450,55900,80,-9,-8,18,13872
1422208713861255596,212,1422208713818017005,,422929316,-712630451,55950,90,-6,-4,19,13873
1422208714426561042,213,1422208714400015115,,422929314,-712630453,56040,110,-9,-9,33,13879
1422208714791223178,214,1422208714774986982,,422929311,-712630453,56120,120,-13,-7,19,13871
1422208715005751356,215,1422208714989236116,,422929307,-712630456,56210,110,-6,-4,3,13880
1422208715470737523,216,1422208715466377973,,422929302,-712630461,56210,110,13,8,-2,13885
1422208716035890230,217,1422208716011431932,,422929300,-712630465,56350,110,0,1,6,13886
1422208716500461334,218,1422208716489790916,,422929297,-712630471,56420,100,-4,-4,-2,13885
1422208716814983297,219,1422208716808721065,,422929294,-712630477,56490,100,13,2,-19,13882
1422208717431239885,220,1422208717392103910,,422929291,-712630485,56620,90,6,-2,-12,13881
1422208717796249187,221,1422208717766037940,,422929291,-712630491,56630,70,8,4,-2,13882
1422208718161199189,222,1422208718139240026,,422929294,-712630495,56720,80,3,3,-4,13877
1422208718576580986,223,1422208718539174079,,422929297,-712630500,56930,80,7,-1,-9,13875
1422208718941552663,224,1422208718914410114,,422929301,-712630504,57030,90,-8,-3,11,13874
1422208719206517245,225,1422208719180690050,,422929306,-712630507,57150,100,-9,-7,7,13878
1422208719621402356,226,1422208719601574897,,422929310,-712630510,57250,100,0,-1,6,13880
1422208719936321039,227,1422208719935909032,,422929313,-712630513,57380,110,4,1,-4,13880
1422208720653202357,228,1422208720606906890,,422929317,-712630516,57520,110,-1,0,-11,13885
1422208721018880366,229,1422208720981992959,,422929320,-712630519,57650,100,14,7,-14,13880
1422208721233590676,230,1422208721197207927,,422929324,-712630522,57700,110,-1,-4,-14,13877
1422208721798749511,231,1422208721778413057,,422929325,-712630525,57810,100,9,2,-14,13877
1422208722263694423,232,1422208722247389078,,422929326,-712630528,57900,100,6,4,-18,13878
1422208722828378569,233,1422208722824678897,,422929327,-712630532,57970,90,6,-4,-16,13871
1422208723243684169,234,1422208723197880029,,422929325,-712630536,58060,70,-1,4,-24,13869
1422208723608061386,235,1422208723597861051,,422929324,-712630539,58090,60,2,3,-31,13863
1422208724023076529,236,1422208723975902080,,422929322,-712630542,58150,60,16,2,-25,13864
1422208724237784346,237,1422208724188186883,,422929320,-712630545,58180,50,9,4,-14,13874
1422208724752375426,238,1422208724749113082,,422929320,-712630547,58200,50,4,4,-13,13878
1422208725267152054,239,1422208725227551937,,422929321,-712630547,58240,50,6,4,-12,13874
1422208725581413308,240,1422208725546627044,,422929323,-712630546,58330,50,3,-4,-11,13875
1422208725896070193,241,1422208725851691007,,422929326,-712630547,58390,40,1,2,-7,13878
1422208726160767499,242,1422208726129604101,,422929331,-712630545,58380,40,1,0,-8,13875
1422208726575427882,243,1422208726541754961,,422929338,-712630542,58370,40,7,0,-13,13882
1422208726839978054,244,1422208726817981958,,422929348,-712630537,58340,10,1,1,-12,13883
1422208727254639350,245,1422208727228981971,,422929362,-712630530,58230,0,4,4,-17,13883
1422208727719617936,246,1422208727687324047,,422929380,-712630519,58150,-10,1,3,-26,13887
1422208728184411786,247,1422208728150317907,,422929396,-712630510,58080,-30,4,4,-22,13888
1422208728799800155,248,1422208728798558950,,422929404,-712630505,58030,-50,4,9,-25,13888
1422208729214695957,249,1422208729176647901,,422929411,-712630501,58150,-60,9,4,-22,13882
1422208729479038571,250,1422208729469832897,,422929419,-712630500,58110,-50,6,7,-22,13886
1422208729993879287,251,1422208729947731018,,422929427,-712630496,57990,-50,9,12,-44,13883
1422208730358660682,252,1422208730321086883,,422929434,-712630492,57900,-50,9,11,-45,13883
1422208730724457843,253,1422208730721071958,,422929445,-712630486,57840,-30,6,4,-33,13882
1422208731139280078,254,1422208731099212884,,422929456,-712630479,57840,-20,0,1,-19,13879
1422208731503715180,255,1422208731471353054,,422929466,-712630473,57800,0,-3,2,-19,13881
1422208731918935262,256,1422208731872431039,,422929475,-712630467,57790,30,-2,-4,1,13882
1422208732283804835,257,1422208732249587059,,422929482,-712630464,57790,70,-12,-14,51,13877
1422208732498500975,258,1422208732461683988,,422929492,-712630459,57810,110,-19,-19,85,13878
1422208732963360754,259,1422208732939708948,,422929503,-712630453,57720,110,-6,-7,45,13878
1422208733278316207,260,1422208733272943019,,422929517,-712630446,57700,110,-9,-13,45,13881
1422208733592970350,261,1422208733591998100,,422929526,-712630441,57710,120,-8,-14,58,13877
1422208733907417845,262,1422208733860011100,,422929535,-712630437,57680,120,-8,-14,58,13881
1422208734121821700,263,1422208734090135097,,422929544,-712630433,57660,130,-9,-8,48,13883
1422208734587816328,264,1422208734550260066,,422929553,-712630429,57590,150,-4,-4,28,13888
1422208734953282630,265,1422208734923377990,,422929558,-712630426,57560,160,-3,-4,19,13888
1422208735368213676,266,1422208735324583053,,422929566,-712630423,57510,160,-2,0,6,13887
1422208735833663468,267,1422208735802764892,,422929574,-712630420,57480,160,1,0,-2,13885
1422208736498900725,268,1422208736471690893,,422929579,-712630418,57460,160,-1,1,-1,13883
1422208736863614930,269,1422208736850007057,,422929586,-712630416,57430,160,1,-2,-1,13879
1422208737078411488,270,1422208737061192035,,422929593,-712630414,57360,160,3,2,-1,13880
1422208737493836835,271,1422208737450258016,,422929599,-712630412,57360,160,-2,-2,6,13881
1422208737858480790,272,1422208737809369087,,422929606,-712630410,57340,150,1,-7,16,13872
1422208738322888274,273,1422208738312448024,,422929618,-712630406,57280,150,1,2,14,13878
1422208738738039341,274,1422208738687448024,,422929626,-712630402,57250,160,1,-4,16,13878
1422208739102711477,275,1422208739059669971,,422929633,-712630398,57200,170,2,0,9,13877
1422208739367257253,276,1422208739340903043,,422929645,-712630391,57120,190,4,3,-13,13872
1422208739732228864,277,1422208739713152885,,422929657,-712630382,57010,200,6,7,-34,13875
1422208740397415064,278,1422208740381936073,,422929678,-712630369,56920,210,-1,2,-16,13875
1422208740762603535,279,1422208740757011890,,422929695,-712630357,56870,220,-1,-3,8,13874
1422208741177611290,280,1422208741129453897,,422929714,-712630344,56740,230,4,2,-4,13870
1422208741542535026,281,1422208741530628919,,422929734,-712630330,56590,220,7,4,-35,13867
1422208742058157850,282,1422208742011568069,,422929752,-712630317,56450,230,-1,-3,-3,13868
1422208742372440045,283,1422208742330765008,,422929769,-712630305,56350,230,1,1,8,13871
