%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422207603311825329,2824,1422207603308171987,,422927891,-712632675,62730,2520,3,-4,-3,31608
1422207603776636640,2825,1422207603764189958,,422927894,-712632673,62720,2460,-3,-11,3,31607
1422207604542046023,2826,1422207604522355079,,422927898,-712632671,62660,2330,1,-8,-1,31604
1422207604956535715,2827,1422207604908190011,,422927900,-712632670,62570,2270,1,-4,-1,31616
1422207605320906601,2828,1422207605285331010,,422927902,-712632669,62470,2210,-4,1,4,31611
1422207605685606845,2829,1422207605656311035,,422927904,-712632665,62340,2160,-2,14,2,31611
1422207606049828370,2830,1422207606042350053,,422927904,-712632660,62280,2100,-6,6,6,31617
1422207606464284188,2831,1422207606420177936,,422927902,-712632654,62090,2040,-7,-1,7,31605
1422207606828516925,2832,1422207606797434091,,422927899,-712632649,61910,1990,1,-4,-1,31613
1422207607193185443,2833,1422207607168443918,,422927893,-712632642,61830,1930,-4,0,4,31612
1422207608009473648,2834,1422207608003469944,,422927883,-712632631,61450,1860,9,-4,-9,31592
1422207608874974747,2835,1422207608837533950,,422927874,-712632620,61060,1790,14,0,-14,31589
1422207609239395224,2836,1422207609217627048,,422927870,-712632614,60950,1750,-13,-1,13,31603
1422207609603595587,2837,1422207609596635103,,422927867,-712632610,60760,1730,-1,2,1,31596
1422207610018428463,2838,1422207609975629091,,422927862,-712632603,60540,1710,-8,1,8,31602
1422207610382551615,2839,1422207610354521036,,422927858,-712632598,60320,1700,-1,-2,1,31603
1422207610746890184,2840,1422207610733756065,,422927853,-712632592,60110,1700,-1,4,1,31595
1422207611161612580,2841,1422207611112782955,,422927847,-712632585,60080,1710,-14,-1,14,31605
1422207611526273975,2842,1422207611499768018,,422927842,-712632580,59960,1720,-3,-1,3,31604
1422207612741069345,2843,1422207612706862926,,422927828,-712632564,59530,1790,2,0,-2,31604
1422207613105702004,2844,1422207613085994005,,422927824,-712632560,59400,1840,-12,-2,12,31606
1422207613470470652,2845,1422207613469804048,,422927820,-712632558,59230,1860,4,-4,-4,31615
1422207614236449962,2846,1422207614221040010,,422927812,-712632559,58930,1960,14,-3,-14,31621
1422207614601324605,2847,1422207614598875999,,422927810,-712632560,58780,2030,-8,-1,8,31608
1422207615366699901,2848,1422207615358163118,,422927803,-712632561,58480,2180,6,2,-6,31607
1422207616132383400,2849,1422207616117187976,,422927798,-712632558,58180,2320,-3,-2,3,31612
1422207617898661436,2850,1422207617861968994,,422927793,-712632570,57790,2630,0,-2,0,31615
