%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1422206519480347540,122,1422206519466392040,,422929133,-712630639,65960,1050,0,4,0,30304
1422206519995285465,123,1422206519990364074,,422929134,-712630639,65810,940,-2,-9,2,30307
1422206520459997457,124,1422206520445461988,,422929134,-712630639,65740,880,4,1,-4,30303
1422206520825522021,125,1422206520823301076,,422929134,-712630637,65650,830,4,7,-4,30314
1422206521240093133,126,1422206521202555894,,422929135,-712630636,65530,810,-9,-4,9,30303
1422206521705127181,127,1422206521663348913,,422929136,-712630635,65450,810,0,-6,0,30314
1422206522069984032,128,1422206522034540891,,422929137,-712630634,65290,840,1,-6,-1,30310
1422206522434298995,129,1422206522418625116,,422929137,-712630634,65200,820,2,7,-2,30305
1422206522798831605,130,1422206522790656089,,422929137,-712630634,65170,790,2,-7,-2,30312
1422206523213413178,131,1422206523175429105,,422929137,-712630634,65120,740,-9,-4,9,30303
1422206523627935003,132,1422206523623790979,,422929137,-712630634,65060,700,1,-3,-1,30305
1422206524042961120,133,1422206524001724004,,422929136,-712630634,64910,660,-1,4,1,30307
1422206524407602025,134,1422206524380682945,,422929136,-712630632,64850,640,7,-2,-7,30296
1422206524772206608,135,1422206524760833024,,422929136,-712630630,64780,600,-6,-4,6,30307
1422206525187359573,136,1422206525138906002,,422929135,-712630628,64810,580,-2,-1,2,30308
1422206525551946319,137,1422206525517781019,,422929135,-712630627,64740,570,16,2,-16,30298
1422206525916259442,138,1422206525896940946,,422929136,-712630625,64670,550,-4,-8,4,30308
1422206526281396632,139,1422206526280883073,,422929136,-712630624,64570,530,4,-4,-4,30305
1422206526696027002,140,1422206526652828931,,422929137,-712630622,64490,520,-1,-8,1,30300
1422206527060858803,141,1422206527030911922,,422929136,-712630621,64490,520,7,0,-7,30313
1422206527425278160,142,1422206527410744905,,422929136,-712630619,64420,540,-4,2,4,30304
1422206527890188851,143,1422206527866178989,,422929136,-712630618,64290,560,3,-1,-3,30301
1422206528255148973,144,1422206528245151042,,422929135,-712630614,64190,580,0,4,0,30311
1422206528670291405,145,1422206528622884988,,422929135,-712630611,64120,620,-7,0,7,30296
1422206529035205418,146,1422206529003140926,,422929134,-712630610,64080,660,-2,-6,2,30299
1422206529399449686,147,1422206529380945920,,422929133,-712630608,64000,720,9,-2,-9,30304
1422206529764061221,148,1422206529760046958,,422929133,-712630606,63920,770,-8,2,8,30294
1422206530178701727,149,1422206530139219045,,422929131,-712630605,63910,820,1,2,-1,30305
1422206530543408718,150,1422206530518197059,,422929130,-712630603,63780,850,7,-4,-7,30300
1422206530908395121,151,1422206530896112918,,422929129,-712630601,63770,870,-3,4,3,30302
1422206531322973303,152,1422206531275129079,,422929128,-712630598,63650,880,-3,-7,3,30308
1422206531687351149,153,1422206531654205083,,422929126,-712630596,63520,860,4,1,-4,30301
1422206532152163724,154,1422206532110271930,,422929125,-712630595,63450,860,-8,-2,8,30312
1422206532516812618,155,1422206532488270998,,422929123,-712630593,63410,870,8,-2,-8,30302
1422206532881230057,156,1422206532872112035,,422929122,-712630592,63430,830,0,-8,0,30312
1422206533295689994,157,1422206533245281934,,422929120,-712630593,63350,870,0,4,0,30305
1422206533660259397,158,1422206533623439073,,422929118,-712630593,63290,970,6,-3,-6,30309
1422206534124939483,159,1422206534079358100,,422929117,-712630593,63250,1020,-1,0,1,30307
1422206534539995404,160,1422206534533351898,,422929116,-712630593,63170,1060,-11,-6,11,30307
1422206534954666580,161,1422206534919389009,,422929114,-712630593,63120,1120,0,4,0,30309
1422206535319327628,162,1422206535290451049,,422929113,-712630593,63060,1180,-1,-4,1,30297
1422206535684046645,163,1422206535668476104,,422929112,-712630592,62970,1220,2,4,-2,30307
1422206536049084699,164,1422206536047516107,,422929111,-712630590,62910,1260,7,0,-7,30305
1422206536513905964,165,1422206536502496957,,422929110,-712630590,62900,1280,-6,-4,6,30299
1422206536928971420,166,1422206536880568027,,422929109,-712630590,62780,1270,6,-3,-6,30309
1422206537293549688,167,1422206537259700059,,422929109,-712630590,62700,1290,-3,1,3,30300
1422206537658664136,168,1422206537638724088,,422929109,-712630590,62670,1290,-4,1,4,30297
1422206538073086832,169,1422206538023422956,,422929108,-712630590,62630,1310,-3,1,3,30304
1422206538437647262,170,1422206538394654989,,422929108,-712630589,62530,1330,-1,-6,1,30296
1422206538802065374,171,1422206538773703098,,422929107,-712630589,62540,1360,3,1,-3,30302
1422206539166663845,172,1422206539153635025,,422929108,-712630590,62550,1380,0,-4,0,30307
1422206539581336588,173,1422206539537605047,,422929108,-712630591,62490,1410,-4,1,4,30296
1422206539945904365,174,1422206539908857107,,422929108,-712630592,62420,1430,0,0,0,30306
1422206540310318643,175,1422206540287698984,,422929107,-712630591,62390,1420,-3,0,3,30304
1422206540775078652,176,1422206540742743968,,422929107,-712630590,62280,1390,-3,3,3,30298
1422206541139354681,177,1422206541122937917,,422929106,-712630588,62280,1370,-9,-1,9,30311
1422206541503930832,178,1422206541500945091,,422929105,-712630586,62240,1360,-1,-2,1,30302
1422206541919361129,179,1422206541879921913,,422929104,-712630584,62170,1350,0,-3,0,30300
1422206542283985955,180,1422206542258924007,,422929103,-712630582,62070,1340,-7,1,7,30312
1422206542648948698,181,1422206542638046979,,422929101,-712630579,62020,1320,4,4,-4,30300
1422206543063929374,182,1422206543015983104,,422929100,-712630577,61920,1320,-4,0,4,30308
1422206543428255322,183,1422206543394933938,,422929098,-712630575,61810,1340,0,4,0,30312
1422206543793046482,184,1422206543774163961,,422929097,-712630571,61720,1360,-4,-1,4,30304
1422206544208080445,185,1422206544159071922,,422929096,-712630567,61610,1350,2,-2,-2,30315
1422206544622590919,186,1422206544605252981,,422929097,-712630566,61570,1330,-3,-4,3,30303
1422206545087683094,187,1422206545061156034,,422929097,-712630565,61470,1330,-1,0,1,30317
1422206545452373344,188,1422206545441108942,,422929097,-712630565,61460,1330,0,4,0,30305
1422206545866812511,189,1422206545818979024,,422929097,-712630565,61390,1330,-2,-6,2,30309
1422206546231579322,190,1422206546204155921,,422929098,-712630565,61360,1310,3,1,-3,30305
1422206546596323926,191,1422206546576431989,,422929098,-712630566,61300,1280,8,1,-8,30305
1422206547061533426,192,1422206547031188964,,422929099,-712630567,61240,1250,-4,-4,4,30307
1422206547426509826,193,1422206547416220903,,422929100,-712630567,61200,1240,4,1,-4,30302
1422206547891475507,194,1422206547863291025,,422929101,-712630567,61220,1240,2,-4,-2,30314
1422206548256538580,195,1422206548248248100,,422929102,-712630568,61210,1250,-1,1,1,30299
1422206548671394893,196,1422206548626432895,,422929103,-712630568,61160,1260,4,6,-4,30310
1422206549036234657,197,1422206548997550964,,422929104,-712630568,61110,1260,2,7,-2,30309
1422206549501860351,198,1422206549453490018,,422929105,-712630567,61090,1320,-2,3,2,30299
1422206549866379323,199,1422206549831422090,,422929105,-712630565,61080,1380,9,0,-9,30309
1422206550231350972,200,1422206550211282014,,422929106,-712630564,61060,1400,0,-8,0,30311
1422206550595566888,201,1422206550589490890,,422929106,-712630563,61040,1420,0,1,0,30301
1422206551010116630,202,1422206550968460083,,422929108,-712630562,60990,1440,-3,-4,3,30308
1422206551374590119,203,1422206551346589088,,422929108,-712630561,60990,1470,-4,4,4,30310
1422206551739403755,204,1422206551726474046,,422929109,-712630560,60930,1470,-2,-1,2,30300
1422206552154245511,205,1422206552104597091,,422929109,-712630559,60940,1460,3,-2,-3,30308
1422206552519059739,206,1422206552483757972,,422929109,-712630558,60890,1450,-4,-3,4,30312
1422206552883719705,207,1422206552861548900,,422929108,-712630557,60820,1460,7,4,-7,30301
1422206553248689501,208,1422206553240756034,,422929108,-712630556,60780,1420,-9,1,9,30306
1422206553713883475,209,1422206553695713996,,422929108,-712630555,60700,1390,-1,-4,1,30308
1422206554078675979,210,1422206554073666095,,422929109,-712630554,60650,1330,0,-3,0,30298
1422206554493727159,211,1422206554453684091,,422929110,-712630554,60540,1280,7,-4,-7,30308
1422206554858380225,212,1422206554837647914,,422929111,-712630553,60430,1240,3,3,-3,30301
1422206555223419036,213,1422206555208843946,,422929112,-712630552,60340,1190,-2,1,2,30301
1422206555638222031,214,1422206555587795019,,422929113,-712630550,60290,1140,1,0,-1,30306
1422206556003113481,215,1422206555966926097,,422929113,-712630547,60190,1080,7,-8,-7,30294
1422206556367475414,216,1422206556344899892,,422929114,-712630544,60140,1050,3,2,-3,30308
1422206556731814503,217,1422206556723897933,,422929115,-712630542,60020,1030,-3,-3,3,30297
1422206557146682216,218,1422206557103024959,,422929116,-712630539,60000,1010,-7,6,7,30309
1422206557511225995,219,1422206557481893062,,422929117,-712630536,59880,1070,3,-1,-3,30296
1422206558026173397,220,1422206558012955904,,422929117,-712630532,59810,1100,-2,1,2,30303
1422206558492030675,221,1422206558473906993,,422929118,-712630527,59750,1120,2,3,-2,30299
1422206558957254535,222,1422206558927810907,,422929120,-712630522,59670,1140,-3,-9,3,30308
1422206559423140678,223,1422206559376054048,,422929122,-712630518,59740,1170,0,-2,0,30297
1422206559788240079,224,1422206559756071090,,422929123,-712630515,59730,1180,0,-1,0,30309
1422206560153033285,225,1422206560134123086,,422929125,-712630511,59760,1200,7,6,-7,30302
1422206560567842272,226,1422206560518917083,,422929126,-712630507,59670,1200,11,-4,-11,30301
1422206560932047276,227,1422206560890022993,,422929128,-712630504,59650,1210,3,3,-3,30309
