%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1423690143597004019,70,1423690143587121009,,422921302,-712626535,70710,20100,6,-7,-6,1966
1423690143911962778,71,1423690143871561050,,422921303,-712626536,70720,20110,12,-8,-12,1985
1423690144176916645,72,1423690144146275043,,422921304,-712626537,70730,20100,13,-4,-13,1994
1423690144591939464,73,1423690144560955047,,422921304,-712626538,70720,20090,-2,-2,2,1993
1423690144806769885,74,1423690144790133953,,422921304,-712626539,70680,20070,0,2,0,2012
1423690145122241553,75,1423690145094050884,,422921305,-712626538,70680,20060,16,4,-16,2046
1423690145336856516,76,1423690145302108049,,422921307,-712626536,70710,20050,25,2,-25,2053
1423690145902534533,77,1423690145858622074,,422921308,-712626535,70720,20050,18,-8,-18,2059
1423690146167937250,78,1423690146161004066,,422921310,-712626534,70710,20050,11,-13,-11,2055
1423690146885269052,79,1423690146861254930,,422921311,-712626534,70710,20050,-2,-7,2,2066
1423690147300522262,80,1423690147265803098,,422921311,-712626535,70680,20060,11,-13,-11,2071
1423690147515001038,81,1423690147500926971,,422921310,-712626535,70640,20070,-2,-9,2,2047
1423690147729604441,82,1423690147725028991,,422921308,-712626536,70600,20090,-4,-16,4,1987
1423690147944685718,83,1423690147939237117,,422921307,-712626538,70580,20090,-9,-13,9,1956
1423690148360716484,84,1423690148342577934,,422921304,-712626540,70530,20110,4,-19,-4,1959
1423690148976976360,85,1423690148931719064,,422921302,-712626543,70520,20130,11,-14,-11,1993
1423690149392605866,86,1423690149342550039,,422921301,-712626548,70490,20150,-3,-16,3,1980
1423690149757705201,87,1423690149728359937,,422921300,-712626550,70490,20150,7,-17,-7,1979
1423690149972890448,88,1423690149951889991,,422921300,-712626553,70490,20150,18,-17,-18,1959
1423690150287565833,89,1423690150257857084,,422921304,-712626556,70400,20150,34,-18,-34,1907
1423690150552749414,90,1423690150526221036,,422921308,-712626557,70400,20120,11,-14,-11,1958
1423690151018222972,91,1423690151000210046,,422921312,-712626556,70380,20090,13,-7,-13,1933
1423690151434075292,92,1423690151410984039,,422921314,-712626552,70420,20060,7,-8,-7,1960
1423690151799252982,93,1423690151797139883,,422921315,-712626549,70480,20040,1,-14,-1,1990
1423690152064432599,94,1423690152019399881,,422921315,-712626549,70450,20020,-7,-9,7,1944
1423690152730662861,95,1423690152715601921,,422921317,-712626549,70540,20020,-14,-1,14,1953
1423690153195215291,96,1423690153171834945,,422921317,-712626546,70690,20020,-9,-6,9,2007
1423690153761107986,97,1423690153745632886,,422921319,-712626545,70810,20000,0,-8,0,1986
1423690154226898971,98,1423690154214811086,,422921320,-712626546,70920,19990,-3,0,3,1996
1423690154793172907,99,1423690154782473087,,422921320,-712626549,71090,20010,-9,-4,9,2099
1423690155158289003,100,1423690155133780002,,422921319,-712626552,71110,20010,-21,4,21,2079
1423690155574095509,101,1423690155552705049,,422921315,-712626554,71110,20000,-11,4,11,2059
1423690155939701374,102,1423690155928266048,,422921311,-712626555,71130,20020,-17,12,17,2003
1423690156405274663,103,1423690156391407966,,422921309,-712626555,71200,20040,-6,6,6,1986
