%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude,field.ground_x_speed,field.ground_y_speed,field.ground_z_speed,field.heading
1424878330542312912,1141,1424878330522031068,,422921073,-712626649,61200,14930,-7,-11,7,33981
1424878330907034154,1142,1424878330872909069,,422921069,-712626654,61310,14930,4,-12,-4,33974
1424878331271735146,1143,1424878331248146057,,422921067,-712626660,61500,14890,9,-21,-9,34022
1424878331586125703,1144,1424878331580118894,,422921066,-712626667,61660,14870,8,-19,-8,34103
1424878331950677075,1145,1424878331930970907,,422921065,-712626672,61830,14870,2,-12,-2,34224
1424878332315032397,1146,1424878332310233116,,422921064,-712626673,62000,14940,-14,-16,14,34224
1424878332730236334,1147,1424878332686201095,,422921059,-712626670,62170,15070,-13,9,13,34130
1424878333095113397,1148,1424878333064152002,,422921056,-712626662,62340,15070,-12,16,12,34015
1424878333459536579,1149,1424878333442322015,,422921054,-712626654,62410,15030,-12,14,12,33933
1424878333824148260,1150,1424878333819257020,,422921050,-712626648,62560,14990,4,19,-4,33832
1424878334238849704,1151,1424878334196202993,,422921044,-712626649,62650,14980,4,2,-4,33888
1424878334653848239,1152,1424878334650168895,,422921037,-712626648,62790,15040,-6,18,6,33848
1424878335118821639,1153,1424878335104326009,,422921032,-712626641,62850,15040,-6,14,6,33666
1424878335584005345,1154,1424878335558408021,,422921026,-712626637,62920,15030,-6,4,6,33689
1424878336249758160,1155,1424878336243356943,,422921022,-712626637,62960,15070,9,-9,-9,33847
1424878336614699906,1156,1424878336612288951,,422921024,-712626637,62940,15090,1,8,-1,33862
1424878337029359765,1157,1424878337028449058,,422921025,-712626633,63020,15080,13,0,-13,33889
1424878337393545585,1158,1424878337381310939,,422921027,-712626630,63000,15100,19,8,-19,33998
1424878337657912876,1159,1424878337635540008,,422921031,-712626624,62970,15140,11,4,-11,34096
1424878338022627442,1160,1424878338013400077,,422921035,-712626616,62990,15130,-2,39,2,33965
1424878338437694161,1161,1424878338392441034,,422921039,-712626608,62990,15100,22,32,-22,33746
1424878338852384636,1162,1424878338814568996,,422921041,-712626604,63020,15070,19,4,-19,33680
1424878339166692145,1163,1424878339120414972,,422921042,-712626605,63000,15070,21,-2,-21,33759
1424878339531440838,1164,1424878339495551109,,422921044,-712626605,63030,15060,16,1,-16,33870
1424878339845629964,1165,1424878339800537109,,422921047,-712626602,63040,15060,11,4,-11,33915
1424878340210009585,1166,1424878340174634933,,422921050,-712626600,63060,15050,18,2,-18,33835
1424878340574692822,1167,1424878340553570032,,422921052,-712626601,63070,15030,11,-4,-11,33749
1424878340889894709,1168,1424878340886548042,,422921052,-712626605,63060,15020,12,-22,-12,33737
1424878341254930207,1169,1424878341237499952,,422921052,-712626607,63080,15020,14,-22,-14,33715
1424878341619992831,1170,1424878341616641998,,422921052,-712626610,63080,15040,-4,-6,4,33674
1424878342035771030,1171,1424878341998507022,,422921050,-712626614,63050,15050,-14,-37,14,33766
1424878342400464565,1172,1424878342368648052,,422921045,-712626620,63050,15050,22,-17,-22,33945
1424878342815002881,1173,1424878342779783010,,422921048,-712626623,63050,15040,19,-12,-19,33965
1424878343180603990,1174,1424878343130691051,,422921054,-712626625,63040,15020,18,-9,-18,33897
1424878343545077120,1175,1424878343505825042,,422921057,-712626628,63200,14990,3,26,-3,33789
1424878343859868369,1176,1424878343839802980,,422921062,-712626635,63350,14980,-21,-1,21,33783
1424878344224266912,1177,1424878344191627025,,422921064,-712626640,63430,15010,4,-33,-4,33847
1424878344588729219,1178,1424878344565881967,,422921063,-712626644,63480,15000,-7,-35,7,33987
1424878344903096644,1179,1424878344871807098,,422921057,-712626641,63570,15100,-11,-11,11,34134
1424878345368073492,1180,1424878345326956033,,422921053,-712626632,63600,15070,-18,29,18,34026
1424878345732581806,1181,1424878345703774929,,422921046,-712626623,63600,15030,-35,28,35,33739
1424878346096953190,1182,1424878346078067064,,422921041,-712626629,63600,15020,-13,0,13,33749
1424878346461329182,1183,1424878346411849975,,422921043,-712626640,63570,15030,-3,-29,3,34045
1424878346876107984,1184,1424878346834124088,,422921047,-712626649,63590,15120,25,-26,-25,34282
1424878347190873646,1185,1424878347167094945,,422921054,-712626650,63580,15160,2,7,-2,34212
1424878347555368111,1186,1424878347544956922,,422921060,-712626646,63640,15130,34,19,-34,34123
1424878347970537615,1187,1424878347967166900,,422921069,-712626644,63580,15000,37,-3,-37,34022
1424878348335406567,1188,1424878348300128936,,422921086,-712626646,63620,14920,48,-7,-48,33803
1424878348700094137,1189,1424878348651104927,,422921098,-712626650,63680,14870,39,-14,-39,33537
1424878349014526549,1190,1424878348986027002,,422921104,-712626656,63700,14840,26,-14,-26,33537
1424878349379287392,1191,1424878349360230922,,422921101,-712626661,63870,14820,-29,-14,29,33804
1424878349743623513,1192,1424878349709191083,,422921093,-712626663,63900,14830,-8,-11,8,34058
1424878350057874217,1193,1424878350044286012,,422921088,-712626661,64090,14850,-33,7,33,34198
1424878350422085349,1194,1424878350388092994,,422921086,-712626657,64140,14860,-14,6,14,34220
1424878350836865380,1195,1424878350794187068,,422921083,-712626648,64250,14900,-18,17,18,34038
1424878351151353130,1196,1424878351145164012,,422921080,-712626640,64370,14920,-17,24,17,33758
1424878351566393574,1197,1424878351524161100,,422921073,-712626632,64430,14900,-13,14,13,33627
1424878351881399818,1198,1424878351853363990,,422921059,-712626629,64490,14930,-44,3,44,33700
1424878352246032431,1199,1424878352232486009,,422921043,-712626632,64530,14940,-52,1,52,33776
1424878352611667736,1200,1424878352583369970,,422921028,-712626635,64590,14950,-31,3,31,33818
1424878352926802619,1201,1424878352918592929,,422921021,-712626642,64590,14970,-21,-9,21,33971
1424878353291909652,1202,1424878353263339042,,422921019,-712626656,64630,15000,4,-26,-4,34324
1424878353606634182,1203,1424878353597578048,,422921028,-712626661,64680,15030,35,6,-35,34491
1424878353971663980,1204,1424878353941545009,,422921034,-712626644,64670,15010,37,41,-37,34372
1424878354336821698,1205,1424878354315665006,,422921038,-712626621,64650,15050,9,66,-9,34159
1424878354701613069,1206,1424878354696501970,,422921041,-712626608,64760,15070,18,19,-18,33729
1424878355116318475,1207,1424878355070483922,,422921036,-712626610,64810,15050,3,3,-3,33543
1424878355530915098,1208,1424878355521337032,,422921033,-712626616,64800,15030,-4,-9,4,33550
1424878355995504632,1209,1424878355978688001,,422921035,-712626623,64860,15030,4,-11,-4,33704
1424878356410137280,1210,1424878356388633966,,422921045,-712626627,64920,15060,34,-7,-34,33967
1424878356824720064,1211,1424878356799700975,,422921057,-712626624,64840,15080,34,2,-34,34096
1424878357239986743,1212,1424878357218748092,,422921066,-712626619,64860,15100,37,13,-37,34202
1424878357654696548,1213,1424878357641766071,,422921074,-712626618,64720,15090,11,3,-11,34373
1424878357969042598,1214,1424878357944818973,,422921080,-712626623,64690,15090,25,-7,-25,34604
1424878358333844997,1215,1424878358322766065,,422921088,-712626628,64660,15060,12,-28,-12,34723
1424878358748915069,1216,1424878358701925039,,422921095,-712626630,64540,15020,19,4,-19,34784
1424878359113651764,1217,1424878359085678100,,422921105,-712626633,64550,15010,26,-9,-26,34707
1424878359477811793,1218,1424878359458797931,,422921113,-712626635,64460,15030,32,-7,-32,34539
1424878359842231519,1219,1424878359836992025,,422921116,-712626630,64370,15060,4,24,-4,34487
1424878360256929960,1220,1424878360215944051,,422921116,-712626624,64380,15080,-26,14,26,34429
1424878360621420822,1221,1424878360594985008,,422921112,-712626628,64390,15070,-4,-19,4,34173
1424878360986140972,1222,1424878360967858076,,422921109,-712626635,64360,15100,-4,-39,4,33820
1424878361401561027,1223,1424878361351948022,,422921106,-712626640,64390,15090,-1,-26,1,33609
1424878361716957524,1224,1424878361686108112,,422921103,-712626643,64330,15060,-7,-16,7,33473
1424878362283051482,1225,1424878362261128902,,422921096,-712626647,64340,15000,-9,-22,9,33293
1424878362647905450,1226,1424878362640198945,,422921086,-712626648,64310,14970,-33,-16,33,33275
1424878363063577387,1227,1424878363022053956,,422921079,-712626644,64240,14930,-37,4,37,33396
1424878363429303645,1228,1424878363400029897,,422921067,-712626637,64330,14910,-22,3,22,33602
1424878363794335581,1229,1424878363774143934,,422921056,-712626640,64360,14910,-28,-6,28,33760
1424878364159373866,1230,1424878364152206897,,422921043,-712626645,64430,14890,-41,1,41,33744
1424878364575103516,1231,1424878364531111955,,422921031,-712626651,64450,14900,-29,-17,29,33648
1424878364940355226,1232,1424878364910299062,,422921021,-712626659,64550,14970,-24,-22,24,33602
1424878365305417675,1233,1424878365289249897,,422921010,-712626671,64550,14980,-17,-16,17,33552
1424878365670975818,1234,1424878365669312953,,422921003,-712626675,64610,14970,-4,-9,4,33627
1424878366085853416,1235,1424878366078406095,,422921001,-712626669,64720,14950,-9,16,9,33735
1424878366450939529,1236,1424878366424427986,,422921011,-712626653,64890,14950,8,12,-8,33563
1424878366815540056,1237,1424878366804394960,,422921033,-712626637,65080,14950,58,50,-58,33544
1424878367230829506,1238,1424878367187313079,,422921060,-712626616,65200,14970,70,47,-70,33791
1424878367596557914,1239,1424878367560528039,,422921076,-712626604,65260,14990,56,31,-56,33887
1424878367961504904,1240,1424878367938456058,,422921088,-712626601,65290,15030,1,9,-1,34022
